Date,Order_Demand,Year
2012-07-31,600,2012
2012-08-06,800,2012
2012-08-21,900,2012
2012-08-06,300,2012
2012-08-21,700,2012
2012-09-03,300,2012
2012-10-01,600,2012
2012-09-28,1300,2012
2012-11-02,200,2012
2012-11-16,300,2012
2012-12-03,100,2012
2012-12-13,200,2012
2012-12-25,900,2012
2012-11-23,3000,2012
2012-08-20,5000,2012
2012-08-20,15000,2012
2012-10-08,2000,2012
2012-01-16,100,2012
2012-09-18,300,2012
2012-09-18,200,2012
2012-01-04,2000,2012
2012-01-04,2000,2012
2012-03-01,5000,2012
2012-08-02,100,2012
2012-11-29,400,2012
2012-01-26,60000,2012
2012-02-02,30000,2012
2012-02-16,30000,2012
2012-02-21,30000,2012
2012-02-23,10000,2012
2012-04-12,10000,2012
2012-03-22,5000,2012
2012-04-19,10000,2012
2012-05-10,10000,2012
2012-05-02,5000,2012
2012-05-31,20000,2012
2012-05-21,10000,2012
2012-06-07,10000,2012
2012-05-31,40000,2012
2012-06-05,10000,2012
2012-06-07,10000,2012
2012-06-14,30000,2012
2012-06-21,30000,2012
2012-06-26,20000,2012
2012-07-05,30000,2012
2012-07-17,20000,2012
2012-07-26,30000,2012
2012-08-01,35000,2012
2012-08-01,5000,2012
2012-08-23,20000,2012
2012-08-31,10000,2012
2012-09-20,30000,2012
2012-09-20,20000,2012
2012-09-25,20000,2012
2012-10-04,40000,2012
2012-10-11,30000,2012
2012-10-16,30000,2012
2012-10-25,10000,2012
2012-10-30,30000,2012
2012-11-08,10000,2012
2012-11-22,10000,2012
2012-11-22,10000,2012
2012-12-06,20000,2012
2012-12-13,90000,2012
2012-12-20,30000,2012
2012-01-24,200,2012
2012-01-24,10000,2012
2012-02-09,1000,2012
2012-02-16,1000,2012
2012-02-23,200,2012
2012-03-07,10000,2012
2012-04-12,200,2012
2012-04-17,200,2012
2012-05-10,1000,2012
2012-04-18,80000,2012
2012-04-18,10000,2012
2012-04-19,200,2012
2012-05-10,200,2012
2012-05-16,200,2012
2012-05-21,400,2012
2012-05-21,70000,2012
2012-05-31,200,2012
2012-06-07,200,2012
2012-06-12,10000,2012
2012-06-12,400,2012
2012-06-14,2000,2012
2012-06-21,200,2012
2012-06-26,80000,2012
2012-07-05,200,2012
2012-07-12,200,2012
2012-07-17,100000,2012
2012-08-02,400,2012
2012-08-16,10000,2012
2012-08-21,200,2012
2012-08-24,100000,2012
2012-08-29,200,2012
2012-09-20,200,2012
2012-09-19,1000,2012
2012-09-20,200,2012
2012-10-04,80000,2012
2012-10-11,200,2012
2012-10-05,10000,2012
2012-10-16,1000,2012
2012-10-18,200,2012
2012-10-29,80000,2012
2012-11-02,200,2012
2012-11-13,10000,2012
2012-11-22,200,2012
2012-11-22,200,2012
2012-12-03,2000,2012
2012-06-19,4000,2012
2012-01-10,2000,2012
2012-02-09,2000,2012
2012-02-13,5000,2012
2012-02-24,2000,2012
2012-02-29,5000,2012
2012-03-09,6000,2012
2012-03-15,10000,2012
2012-03-22,2000,2012
2012-03-26,1000,2012
2012-03-27,10000,2012
2012-03-28,4000,2012
2012-04-05,5000,2012
2012-04-06,10000,2012
2012-04-09,4000,2012
2012-04-20,1000,2012
2012-04-23,3000,2012
2012-05-04,20000,2012
2012-05-09,5000,2012
2012-05-23,5000,2012
2012-05-29,9000,2012
2012-05-29,1000,2012
2012-05-31,5000,2012
2012-06-07,5000,2012
2012-06-14,3000,2012
2012-06-15,5000,2012
2012-06-20,2000,2012
2012-07-03,4000,2012
2012-07-05,1000,2012
2012-07-09,1000,2012
2012-07-13,2000,2012
2012-07-18,1000,2012
2012-07-20,10000,2012
2012-07-23,6000,2012
2012-08-01,5000,2012
2012-08-06,5000,2012
2012-08-06,1000,2012
2012-08-08,1000,2012
2012-08-20,4000,2012
2012-08-21,5000,2012
2012-10-10,9000,2012
2012-10-11,2000,2012
2012-10-15,1000,2012
2012-10-19,4000,2012
2012-10-23,3000,2012
2012-10-24,5000,2012
2012-11-12,8000,2012
2012-11-23,8000,2012
2012-11-23,1000,2012
2012-11-28,3000,2012
2012-12-12,4000,2012
2012-12-12,3000,2012
2012-12-19,3000,2012
2012-01-09,99000,2012
2012-01-12,8000,2012
2012-01-18,40000,2012
2012-01-19,15000,2012
2012-01-31,28000,2012
2012-02-01,20000,2012
2012-02-03,1000,2012
2012-02-09,152000,2012
2012-02-15,100000,2012
2012-02-17,30000,2012
2012-02-23,199000,2012
2012-02-27,3000,2012
2012-02-29,3000,2012
2012-03-02,42500,2012
2012-03-02,7500,2012
2012-03-07,6000,2012
2012-03-08,10000,2012
2012-03-15,100000,2012
2012-03-15,207000,2012
2012-03-19,5000,2012
2012-03-28,3500,2012
2012-04-06,10000,2012
2012-04-09,1000,2012
2012-04-09,1000,2012
2012-04-23,3000,2012
2012-04-25,25500,2012
2012-05-02,4000,2012
2012-05-09,10000,2012
2012-05-14,15000,2012
2012-05-14,10000,2012
2012-05-24,80000,2012
2012-05-24,100000,2012
2012-05-24,500,2012
2012-05-29,1000,2012
2012-06-08,70000,2012
2012-06-14,2000,2012
2012-06-14,4500,2012
2012-06-18,1000,2012
2012-06-20,53000,2012
2012-06-20,280000,2012
2012-06-20,260000,2012
2012-06-28,1500,2012
2012-07-03,57000,2012
2012-07-04,325000,2012
2012-07-04,163500,2012
2012-07-09,200000,2012
2012-07-09,1000,2012
2012-07-09,249000,2012
2012-07-09,280000,2012
2012-07-09,400000,2012
2012-07-18,2000,2012
2012-07-25,8000,2012
2012-07-25,2000,2012
2012-07-25,5000,2012
2012-07-27,3500,2012
2012-08-06,10000,2012
2012-08-08,20000,2012
2012-08-08,1500,2012
2012-08-20,3500,2012
2012-08-27,2000,2012
2012-09-11,42000,2012
2012-09-19,1500,2012
2012-09-19,1000,2012
2012-10-08,44000,2012
2012-10-10,2000,2012
2012-10-23,5000,2012
2012-10-24,2000,2012
2012-10-26,10000,2012
2012-11-23,8000,2012
2012-11-28,56000,2012
2012-12-04,250000,2012
2012-12-04,150000,2012
2012-12-06,60000,2012
2012-01-16,10000,2012
2012-02-07,200000,2012
2012-04-06,160000,2012
2012-06-01,160000,2012
2012-02-07,160000,2012
2012-04-06,130000,2012
2012-06-01,130000,2012
2012-02-07,80000,2012
2012-04-06,46000,2012
2012-06-01,46000,2012
2012-02-07,180000,2012
2012-03-05,90000,2012
2012-04-06,95000,2012
2012-06-01,140000,2012
2012-02-23,8,2012
2012-02-23,2,2012
2012-03-12,2000,2012
2012-03-28,10,2012
2012-05-08,5000,2012
2012-06-05,15000,2012
2012-07-05,15000,2012
2012-07-31,30000,2012
2012-06-05,55000,2012
2012-07-05,55000,2012
2012-07-17,55000,2012
2012-07-30,45000,2012
2012-06-05,88000,2012
2012-06-05,100000,2012
2012-07-05,87000,2012
2012-07-17,87000,2012
2012-07-31,86000,2012
2012-06-12,10000,2012
2012-07-24,2000,2012
2012-08-07,5000,2012
2012-08-06,100000,2012
2012-08-25,30000,2012
2012-08-30,130000,2012
2012-08-25,90000,2012
2012-08-30,90000,2012
2012-08-06,70000,2012
2012-08-22,25000,2012
2012-08-30,55000,2012
2012-08-25,100000,2012
2012-08-30,100000,2012
2012-08-22,5,2012
2012-08-22,14000,2012
2012-09-05,5,2012
2012-09-14,6,2012
2012-09-14,170000,2012
2012-10-05,100000,2012
2012-11-04,100000,2012
2012-12-04,100000,2012
2012-09-14,85000,2012
2012-10-05,85000,2012
2012-11-04,85000,2012
2012-12-04,85000,2012
2012-09-14,65000,2012
2012-10-05,65000,2012
2012-11-04,65000,2012
2012-12-04,60000,2012
2012-09-14,100000,2012
2012-10-05,100000,2012
2012-11-04,100000,2012
2012-12-04,100000,2012
2012-09-25,10,2012
2012-10-11,6,2012
2012-10-24,5000,2012
2012-11-06,10,2012
2012-11-06,10000,2012
2012-11-27,3000,2012
2012-11-27,2000,2012
2012-11-27,5000,2012
2012-12-10,75000,2012
2012-12-24,75000,2012
2012-12-10,72500,2012
2012-12-24,72500,2012
2012-12-10,150000,2012
2012-12-24,100000,2012
2012-12-04,10,2012
2012-12-24,5,2012
2012-06-25,2000,2012
2012-09-14,500,2012
2012-02-17,27000,2012
2012-02-17,23000,2012
2012-03-09,2000,2012
2012-03-26,10000,2012
2012-04-16,50000,2012
2012-05-30,50000,2012
2012-06-06,1000,2012
2012-07-02,1000,2012
2012-07-23,5000,2012
2012-07-26,50000,2012
2012-09-12,50000,2012
2012-10-15,3000,2012
2012-10-25,20000,2012
2012-11-01,50000,2012
2012-12-12,2000,2012
2012-12-20,50000,2012
2011-12-20,1000,2011
2012-02-13,2000,2012
2012-05-04,1000,2012
2012-11-14,1000,2012
2012-01-16,12000,2012
2012-01-16,20000,2012
2012-01-30,10000,2012
2012-01-16,30000,2012
2011-12-30,1000,2011
2012-01-16,150000,2012
2012-02-13,15000,2012
2012-01-20,20000,2012
2012-01-30,70000,2012
2012-01-30,50000,2012
2012-02-19,30000,2012
2012-03-12,10000,2012
2012-02-27,70000,2012
2012-03-18,20000,2012
2012-03-11,20000,2012
2012-04-08,20000,2012
2012-04-04,100000,2012
2012-04-17,30000,2012
2012-05-01,150000,2012
2012-05-08,10000,2012
2012-05-08,20000,2012
2012-06-12,15000,2012
2012-05-22,50000,2012
2012-04-26,8000,2012
2012-05-22,80000,2012
2012-07-03,30000,2012
2012-07-03,25000,2012
2012-06-26,10000,2012
2012-07-10,10000,2012
2012-07-17,10000,2012
2012-08-07,10000,2012
2012-07-24,10000,2012
2012-08-14,20000,2012
2012-07-31,150000,2012
2012-08-07,150000,2012
2012-08-21,20000,2012
2012-08-20,170000,2012
2012-09-11,10000,2012
2012-10-09,10000,2012
2012-09-27,20000,2012
2012-10-09,10000,2012
2012-10-16,10000,2012
2012-10-09,1000,2012
2012-10-29,160000,2012
2012-10-23,40000,2012
2012-11-20,50000,2012
2012-11-27,20000,2012
2012-11-20,10000,2012
2012-12-25,1000,2012
2012-12-03,20000,2012
2012-11-27,10000,2012
2012-12-11,120000,2012
2012-11-30,10000,2012
2012-12-11,10000,2012
2012-12-11,85000,2012
2012-12-18,10000,2012
2012-12-21,10000,2012
2012-12-18,20000,2012
2012-06-15,2,2012
2012-01-18,10000,2012
2012-01-24,5000,2012
2012-01-18,10000,2012
2012-02-27,10000,2012
2012-05-21,10000,2012
2012-06-27,3500,2012
2012-09-16,2700,2012
2012-01-05,1,2012
2012-01-23,3,2012
2012-01-23,2,2012
2012-01-17,2,2012
2012-01-23,1,2012
2012-01-23,1,2012
2012-01-27,1,2012
2012-01-23,1,2012
2012-01-25,1,2012
2012-01-30,2,2012
2012-01-31,2,2012
2012-02-02,1,2012
2012-02-03,4,2012
2012-02-22,1,2012
2012-02-08,3,2012
2012-02-22,2,2012
2012-02-08,1,2012
2012-02-13,1,2012
2012-02-22,1,2012
2012-02-22,1,2012
2012-02-22,1,2012
2012-02-22,1,2012
2012-02-22,3,2012
2012-02-22,3,2012
2012-02-22,1,2012
2012-02-23,3,2012
2012-02-27,2,2012
2012-03-01,2,2012
2012-03-05,1,2012
2012-03-23,1,2012
2012-03-21,4,2012
2012-03-12,1,2012
2012-03-28,3,2012
2012-03-28,10,2012
2012-03-28,1,2012
2012-04-23,2,2012
2012-08-16,1,2012
2012-01-09,200,2012
2012-01-13,100,2012
2012-01-16,100,2012
2012-01-17,100,2012
2012-01-25,100,2012
2012-01-30,100,2012
2012-02-03,100,2012
2012-02-06,100,2012
2012-02-07,100,2012
2012-02-10,300,2012
2012-02-22,100,2012
2012-03-02,100,2012
2012-03-06,200,2012
2012-03-12,100,2012
2012-03-15,100,2012
2012-04-02,100,2012
2012-04-03,100,2012
2012-04-01,200,2012
2012-04-09,200,2012
2012-04-16,100,2012
2012-04-24,200,2012
2012-04-26,100,2012
2012-05-07,100,2012
2012-05-08,100,2012
2012-05-07,100,2012
2012-05-14,100,2012
2012-05-23,100,2012
2012-05-30,100,2012
2012-05-28,100,2012
2012-06-04,200,2012
2012-07-25,100,2012
2012-07-25,100,2012
2012-08-01,100,2012
2012-07-25,100,2012
2012-07-27,100,2012
2012-07-19,100,2012
2012-07-25,100,2012
2012-06-15,200,2012
2012-08-01,100,2012
2012-08-10,100,2012
2012-08-23,100,2012
2012-08-31,100,2012
2012-09-06,100,2012
2012-09-14,100,2012
2012-09-19,100,2012
2012-09-27,100,2012
2012-10-05,100,2012
2012-10-11,100,2012
2012-10-17,100,2012
2012-10-17,100,2012
2012-10-25,100,2012
2012-10-25,200,2012
2012-11-02,100,2012
2012-11-07,100,2012
2012-11-15,100,2012
2012-11-15,100,2012
2012-11-20,100,2012
2012-12-06,100,2012
2012-12-04,100,2012
2012-12-07,200,2012
2012-12-14,100,2012
2012-12-14,100,2012
2012-12-20,100,2012
2012-12-20,100,2012
2012-12-27,100,2012
2012-12-27,100,2012
2012-01-05,300,2012
2012-01-05,300,2012
2012-01-26,200,2012
2012-01-27,100,2012
2012-01-17,100,2012
2012-01-17,100,2012
2012-01-27,100,2012
2012-01-27,100,2012
2012-01-27,100,2012
2012-01-27,100,2012
2012-01-27,100,2012
2012-01-27,100,2012
2012-01-26,200,2012
2012-01-26,300,2012
2012-01-27,1000,2012
2012-01-31,1000,2012
2012-02-02,200,2012
2012-02-07,1000,2012
2012-02-07,1000,2012
2012-02-10,200,2012
2012-02-24,1000,2012
2012-02-24,500,2012
2012-03-07,100,2012
2012-03-08,500,2012
2012-03-14,100,2012
2012-03-13,600,2012
2012-03-28,200,2012
2012-03-28,200,2012
2012-03-28,100,2012
2012-03-27,1000,2012
2012-03-28,100,2012
2012-03-28,200,2012
2012-03-23,200,2012
2012-03-23,200,2012
2012-03-23,200,2012
2012-03-30,100,2012
2012-03-30,100,2012
2012-04-04,200,2012
2012-04-05,1000,2012
2012-04-05,1000,2012
2012-04-05,200,2012
2012-04-10,100,2012
2012-04-10,500,2012
2012-04-10,500,2012
2012-04-10,500,2012
2012-04-20,300,2012
2012-04-20,300,2012
2012-04-20,500,2012
2012-05-07,2000,2012
2012-05-29,600,2012
2012-05-29,300,2012
2012-05-29,200,2012
2012-05-16,2000,2012
2012-05-16,200,2012
2012-05-16,200,2012
2012-05-29,300,2012
2012-06-05,100,2012
2012-06-05,1000,2012
2012-06-05,100,2012
2012-06-05,100,2012
2012-05-30,2000,2012
2012-06-01,200,2012
2012-06-01,200,2012
2012-06-12,200,2012
2012-06-12,200,2012
2012-06-05,100,2012
2012-06-05,100,2012
2012-06-05,100,2012
2012-06-05,2000,2012
2012-06-06,200,2012
2012-06-06,200,2012
2012-06-06,100,2012
2012-06-27,200,2012
2012-06-27,700,2012
2012-06-27,200,2012
2012-06-29,1000,2012
2012-07-05,500,2012
2012-07-05,500,2012
2012-07-05,300,2012
2012-07-05,500,2012
2012-07-05,300,2012
2012-07-10,200,2012
2012-07-10,200,2012
2012-07-10,300,2012
2012-07-27,100,2012
2012-07-27,100,2012
2012-07-11,100,2012
2012-07-11,400,2012
2012-07-12,200,2012
2012-07-30,100,2012
2012-07-27,100,2012
2012-07-12,500,2012
2012-07-13,2000,2012
2012-07-27,200,2012
2012-07-27,200,2012
2012-07-23,200,2012
2012-07-27,100,2012
2012-07-27,100,2012
2012-08-09,200,2012
2012-08-09,200,2012
2012-08-09,300,2012
2012-08-09,200,2012
2012-08-09,100,2012
2012-08-09,100,2012
2012-08-09,100,2012
2012-08-09,100,2012
2012-08-07,200,2012
2012-08-07,200,2012
2012-08-07,100,2012
2012-08-29,200,2012
2012-08-29,200,2012
2012-08-29,100,2012
2012-09-04,100,2012
2012-09-06,100,2012
2012-09-06,100,2012
2012-09-13,100,2012
2012-09-13,100,2012
2012-09-13,400,2012
2012-09-13,200,2012
2012-09-14,200,2012
2012-09-26,500,2012
2012-09-26,500,2012
2012-09-26,200,2012
2012-09-26,200,2012
2012-09-26,200,2012
2012-09-26,100,2012
2012-09-26,100,2012
2012-09-26,100,2012
2012-09-28,100,2012
2012-11-01,100,2012
2012-11-01,100,2012
2012-11-06,100,2012
2012-11-06,100,2012
2012-11-30,100,2012
2012-12-05,300,2012
2012-12-05,100,2012
2012-12-10,100,2012
2012-12-10,100,2012
2012-12-26,300,2012
2012-12-26,200,2012
2012-12-26,200,2012
2012-12-26,200,2012
2012-12-26,400,2012
2012-12-26,200,2012
2012-12-27,100,2012
2012-12-27,100,2012
2012-03-26,1000,2012
2012-08-24,1000,2012
2012-10-03,1000,2012
2012-10-16,1000,2012
2012-10-31,2000,2012
2012-11-07,2000,2012
2012-11-13,1000,2012
2012-04-11,10000,2012
2012-01-26,2000,2012
2012-01-06,3000,2012
2012-01-06,2000,2012
2012-01-10,4000,2012
2012-01-26,2000,2012
2012-02-27,2000,2012
2012-02-28,2000,2012
2012-02-28,1000,2012
2012-03-14,1000,2012
2012-04-05,2000,2012
2012-04-05,2000,2012
2012-05-07,2000,2012
2012-05-29,2000,2012
2012-06-08,2000,2012
2012-06-08,2000,2012
2012-07-03,2000,2012
2012-07-13,1000,2012
2012-07-13,1000,2012
2012-07-13,1000,2012
2012-08-03,1000,2012
2012-08-29,2000,2012
2012-09-24,3000,2012
2012-09-24,1000,2012
2012-10-29,2000,2012
2012-12-21,2000,2012
2012-12-21,1000,2012
2012-12-21,1000,2012
2012-12-25,1000,2012
2012-03-14,20000,2012
2012-06-22,10000,2012
2012-09-19,10000,2012
2012-10-11,10000,2012
2012-12-06,10000,2012
2012-05-08,20000,2012
2012-12-04,8000,2012
2012-12-04,2000,2012
2012-07-25,15000,2012
2012-08-22,10000,2012
2012-09-20,10000,2012
2012-10-01,10000,2012
2012-10-22,15000,2012
2012-12-21,20000,2012
2012-01-17,4000,2012
2012-01-18,10000,2012
2012-02-16,5000,2012
2012-02-09,20000,2012
2012-02-10,20000,2012
2012-02-27,4000,2012
2012-03-12,20000,2012
2012-04-09,5000,2012
2012-05-07,40000,2012
2012-05-07,10000,2012
2012-05-17,10000,2012
2012-05-17,5000,2012
2012-06-13,5000,2012
2012-05-31,10000,2012
2012-05-31,20000,2012
2012-05-31,4000,2012
2012-06-05,10000,2012
2012-06-07,5000,2012
2012-06-08,40000,2012
2012-06-18,15000,2012
2012-07-03,10000,2012
2012-07-05,5000,2012
2012-07-10,20000,2012
2012-07-24,20000,2012
2012-07-25,5000,2012
2012-08-09,10000,2012
2012-08-31,5000,2012
2012-09-12,4000,2012
2012-10-05,5000,2012
2012-10-29,5000,2012
2012-10-29,10000,2012
2012-11-29,5000,2012
2012-11-30,10000,2012
2012-12-06,20000,2012
2012-01-12,84000,2012
2012-01-20,1000,2012
2012-02-03,1000,2012
2012-02-07,15000,2012
2012-02-08,1000,2012
2012-02-17,1000,2012
2012-05-07,30000,2012
2012-06-06,1000,2012
2012-06-08,10000,2012
2012-07-10,28000,2012
2012-08-23,5000,2012
2012-09-10,10000,2012
2012-09-24,6000,2012
2012-09-25,1000,2012
2012-10-12,21000,2012
2012-10-17,2000,2012
2012-11-14,5000,2012
2012-03-22,30000,2012
2012-10-12,15000,2012
2012-12-10,5000,2012
2012-01-13,2000,2012
2012-02-13,1000,2012
2012-02-14,1000,2012
2012-03-13,2000,2012
2012-04-11,1000,2012
2012-05-08,1000,2012
2012-06-06,1000,2012
2012-07-05,1000,2012
2012-07-05,1000,2012
2012-08-01,1000,2012
2012-08-27,2000,2012
2012-09-28,1000,2012
2012-10-30,1000,2012
2012-11-28,2000,2012
2012-12-27,2000,2012
2012-01-06,30,2012
2012-02-22,40,2012
2012-06-06,20,2012
2012-07-05,30,2012
2012-09-26,2,2012
2012-09-18,1000,2012
2012-06-05,1000,2012
2012-08-02,1000,2012
2012-08-30,3000,2012
2012-11-16,50000,2012
2012-02-13,5000,2012
2012-02-14,1000,2012
2012-03-09,200,2012
2012-06-07,100,2012
2012-07-20,100,2012
2012-09-12,100,2012
2012-10-29,500,2012
2012-12-04,1000,2012
2012-12-10,200,2012
2012-12-13,1000,2012
2012-03-28,5000,2012
2012-09-28,1,2012
2012-12-12,3,2012
2012-01-31,100,2012
2012-03-02,100,2012
2012-03-02,300,2012
2012-03-15,400,2012
2012-03-19,500,2012
2012-06-05,400,2012
2012-07-11,100,2012
2012-07-11,100,2012
2012-09-11,1000,2012
2012-09-12,300,2012
2012-01-12,30000,2012
2012-01-30,50000,2012
2012-01-30,30000,2012
2012-03-07,40000,2012
2012-03-07,10000,2012
2012-03-07,12000,2012
2012-03-07,8000,2012
2012-04-01,50000,2012
2012-05-21,1000,2012
2012-06-07,1000,2012
2012-06-08,50000,2012
2012-06-26,1000,2012
2012-06-27,1000,2012
2012-09-28,10000,2012
2012-10-01,10000,2012
2012-11-13,10000,2012
2012-12-17,10000,2012
2012-02-14,3000,2012
2012-03-02,100,2012
2012-03-02,600,2012
2012-03-07,2000,2012
2012-03-15,500,2012
2012-03-26,2000,2012
2012-05-11,4000,2012
2012-05-24,1000,2012
2012-06-05,700,2012
2012-06-07,100,2012
2012-06-20,1000,2012
2012-06-20,4000,2012
2012-06-20,1000,2012
2012-06-20,100,2012
2012-07-11,200,2012
2012-07-20,100,2012
2012-09-18,300,2012
2012-09-18,200,2012
2012-09-11,1000,2012
2012-09-11,100,2012
2012-09-12,700,2012
2012-09-28,1000,2012
2012-10-29,500,2012
2012-10-29,2000,2012
2012-12-04,1000,2012
2012-12-14,4000,2012
2012-01-05,1,2012
2012-02-09,7,2012
2012-02-16,7,2012
2012-07-18,1,2012
2012-09-28,1,2012
2012-06-20,100,2012
2012-07-26,200,2012
2012-08-16,100,2012
2012-08-22,100,2012
2012-10-05,200,2012
2012-10-26,200,2012
2012-05-28,1000,2012
2012-07-31,1000,2012
2012-03-08,500,2012
2012-02-14,1000,2012
2012-02-16,5000,2012
2012-03-19,2000,2012
2012-04-20,7000,2012
2012-06-19,2000,2012
2012-06-21,5000,2012
2012-07-18,2000,2012
2012-08-02,2000,2012
2012-11-19,2000,2012
2012-12-06,2000,2012
2012-02-01,50,2012
2012-02-24,100,2012
2012-06-06,150,2012
2012-06-06,200,2012
2012-07-31,100,2012
2012-10-05,1000,2012
2012-06-28,10000,2012
2012-07-25,20000,2012
2012-02-01,1200,2012
2012-02-01,800,2012
2012-02-06,2000,2012
2012-02-28,3000,2012
2012-03-30,3000,2012
2012-05-22,2000,2012
2012-05-25,3000,2012
2012-06-05,3000,2012
2012-10-15,3000,2012
2012-10-17,1000,2012
2012-11-01,3000,2012
2012-12-17,3000,2012
2012-01-30,20000,2012
2012-02-28,20000,2012
2012-02-21,20000,2012
2012-03-09,1000,2012
2012-04-27,20000,2012
2012-06-13,20000,2012
2012-09-10,20000,2012
2012-10-04,20000,2012
2012-11-01,20000,2012
2012-11-21,20000,2012
2012-12-21,20000,2012
